Timestamp,What is the address of the property?,What is the price per month?,What is the link to the property?
2/12/2024 10:59:52,"747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895",https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/
2/12/2024 10:59:57,"Parkmerced 3711 19th Ave, San Francisco, CA","$2,810",https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/
2/12/2024 11:00:02,"845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450",https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/
2/12/2024 11:00:07,"100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940",https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/
2/12/2024 11:00:13,"828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395",https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/
2/12/2024 11:00:19,"923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816",https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/
2/12/2024 11:00:25,"Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974",https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/
2/12/2024 11:00:31,"Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
2/12/2024 11:00:36,"NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810",https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/
2/12/2024 11:00:46,"The Landing 1395 22nd St, San Francisco, CA","$2,798",https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/
2/12/2024 11:02:07,"1350 Washington Street 1350 Washington St, San Francisco, CA","$2,195",https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/
